n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_directional_accuracy,mean_rmse,mean_r2,selection_score
100,2,0.03,0.6,0.7,1.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,2,0.03,0.6,0.7,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,2,0.03,0.6,0.7,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,2,0.03,0.6,0.7,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,2,0.03,0.7,0.6,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,2,0.03,0.7,0.6,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,2,0.03,0.7,0.6,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,2,0.03,0.7,0.7,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,2,0.03,0.7,0.7,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,2,0.03,0.7,0.7,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.01,0.6,0.6,1.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.01,0.6,0.6,1.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.01,0.6,0.6,1.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.01,0.6,0.6,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.01,0.6,0.6,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.01,0.6,0.6,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.01,0.6,0.7,1.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.01,0.6,0.7,1.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.01,0.6,0.7,1.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.01,0.6,0.7,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.01,0.6,0.7,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.01,0.6,0.7,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.01,0.7,0.6,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.01,0.7,0.6,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.01,0.7,0.6,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.01,0.7,0.7,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.01,0.7,0.7,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.01,0.7,0.7,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.03,0.6,0.6,1.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.03,0.6,0.6,1.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.03,0.6,0.6,1.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.03,0.6,0.6,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.03,0.6,0.6,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.03,0.6,0.6,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.03,0.6,0.7,1.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.03,0.6,0.7,1.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.03,0.6,0.7,1.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.03,0.6,0.7,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.03,0.6,0.7,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.03,0.6,0.7,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.03,0.7,0.6,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.03,0.7,0.6,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.03,0.7,0.6,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.03,0.7,0.7,2.0,2.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.03,0.7,0.7,2.0,5.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.03,0.7,0.7,2.0,10.0,0.6759259259259259,0.032051991700564025,-0.12534324569953037,0.6743233263408978
100,3,0.01,0.7,0.6,0.5,2.0,0.6759259259259259,0.03211196542166892,-0.12566646891759964,0.6743203276548425
